Pid,Task,Self,Other,Order
211,WTP,37.5,37.5,Other First
212,Thrill,93,91,Self First
213,WTP,37.5,17.5,Self First
214,WTP,50,62.5,Other First
215,Thrill,65,62,Self First
216,WTP,37.5,40,Other First
217,Thrill,61,79,Other First
218,Thrill,70,1,Self First
219,Thrill,89,90,Self First
220,Thrill,100,100,Self First
221,WTP,30,17.5,Other First
222,Thrill,51,13,Other First
223,WTP,12.5,10,Other First
224,Thrill,100,86,Other First
225,Thrill,100,100,Other First
226,Thrill,100,100,Self First
227,WTP,32.5,25,Self First
228,Thrill,76,50,Self First
229,Thrill,99,100,Self First
230,Thrill,99,99,Self First
231,Thrill,75,90,Other First
232,Thrill,85,100,Other First
233,WTP,25,25,Self First
234,WTP,25,12.5,Self First
235,Thrill,100,80,Self First
236,Thrill,100,100,Other First
237,WTP,37.5,12.5,Self First
238,Thrill,72,47,Other First
239,Thrill,91,98,Other First
240,Thrill,66,59,Self First
241,Thrill,76,80,Other First
242,Thrill,67,74,Self First
243,WTP,37.5,37.5,Self First
244,Thrill,49,52,Self First
245,Thrill,99,100,Other First
246,Thill,82,100,Other First
247,WTP,20,5,Other First
248,WTP,62.5,60,Self First
249,Thrill,70,100,Other First
250,Thrill,80,100,Self First
